calificacion,comentarios,Clasificacion,longitud
10,muy bueno el trabajo,Promotor,20
6,pues en general la atencion al cliente es super importante estoy en insatisfecho,Detractor,80
10,no todo muy bien puntuales y mucha comunicacion,Promotor,47
10,excelente,Promotor,9
10,excelente servicio muy rapido,Promotor,29
6,muy tardado el tiempo de entrega y el lavado muy mal lavado,Detractor,59
9,los tiempos de respuesta de las refacciones,Neutro,43
10,todo muy bien,Promotor,13
9,todo bien,Promotor,9
9,nunca contestan cuando llamo al area de servicio excelente atencion de mi asesora,Promotor,81
10,muy bien,Promotor,8
10,muy buena,Promotor,9
10,todos fueron muy amables y rapido,Promotor,33
10,muy bueno el trabajo,Promotor,20
10,atencion excelente y muy rapido mi solucion,Promotor,43
10,excelente servicio,Promotor,18
10,todo bien,Promotor,9
10,todo en orden,Promotor,13
9,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,la atencion y la comunicacion,Promotor,29
10,muy buena,Promotor,9
10,todo muy bien,Promotor,13
9,todo bien,Promotor,9
10,no esta todo hien,Promotor,17
10,todo bien,Promotor,9
10,todo bien,Promotor,9
9,todo bien,Promotor,9
9,una sala de espera mas amplia y mas amenidades,Neutro,46
10,caja mas eficiente,Neutro,18
10,todo excelente,Promotor,14
10,todo bien,Promotor,9
9,todo bien,Promotor,9
10,buena atencion y puntualidad,Promotor,28
10,deberian checar mas las garantias de lo demas todo bien,Promotor,55
10,solo mejorar los tiempos de refacciones ya que son muy tardado de ahi en fuera todo bien,Neutro,88
10,excelente servicio,Promotor,18
10,solo la puntualidad al recibir,Neutro,30
9,de mi asesor todo bien solo me sorprende el incremento de precios,Neutro,65
10,un servicio excelente,Promotor,21
10,muy bien,Promotor,8
10,muy buena la atencion de mi asesor segundo contacto 5663982289,Promotor,62
7,muy tardado el diagnostico el asesor todo bien solo las circunstancias de la reparacion,Detractor,87
10,todo bien,Promotor,9
10,no todo bien,Promotor,12
10,atencion maravillosa,Promotor,20
9,todo bien,Promotor,9
10,todo excelente todo perfecto,Promotor,28
10,fue rapida la atencion,Promotor,22
10,ninguna todo bien,Promotor,17
10,excelente,Promotor,9
10,todo muy bien solo el cajero demasiado grosero,Neutro,46
9,esta ocasion estuvo bien todo no como la vez pasada,Promotor,51
9,solo aclarar bien los costos de servicios muy bien con el asesor,Neutro,64
10,no todo esta bien,Promotor,17
10,todo bien,Promotor,9
10,todo excelente,Promotor,14
10,siempre me atiende de bien,Promotor,26
10,giovani excelent3 servicio,Promotor,26
0,en general la actitud de servicio es muy grosera no son eficientes pesima experiencia,Detractor,85
10,todo bien,Promotor,9
10,excelente atencion,Promotor,18
10,estan correcto,Promotor,14
10,no todo me parecio perfecto,Promotor,27
9,todo bien,Promotor,9
10,el cumplimiento de los plazos,Promotor,29
10,todo muy bien,Promotor,13
10,todo muy bien,Promotor,13
10,todo esta excelente,Promotor,19
8,los tiempos de entrega ser menos tardios y pedi corregir mi placa y no lo hicieron,Neutro,82
10,no todo bien,Promotor,12
10,ninguna toda bien,Promotor,17
8,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo bien,Promotor,9
9,solo el tiempo de entrega de la refaccion en general muy buena atencion,Neutro,71
5,tiempo de atencion citan a una hora y no atienden en tiempo,Detractor,59
10,excelente,Promotor,9
10,todos son muy amables felicitaciones por sus atenciones,Promotor,55
8,ninguna no quiso proporcionar num celular,Detractor,41
10,todo bien,Promotor,9
9,falta un poco mas de contacto con el cliente por parte del asesor ni el saludos lo dio,Neutro,86
10,muy buena,Promotor,9
8,todo bien,Promotor,9
10,cada vez lo estan haciendo mejor,Promotor,32
8,tiempos de entrega mas cortos,Neutro,29
9,todo bien,Promotor,9
10,todo bien,Promotor,9
10,excelente,Promotor,9
10,ningu a excelente atencion,Promotor,26
10,excelente,Promotor,9
9,todo bien,Promotor,9
10,es mi primera vez y estoy satisfecho,Promotor,36
10,todo bien,Promotor,9
10,todo perfecto,Promotor,13
10,es muy buena la atencion,Promotor,24
10,solo los msj automaticos no son necesarios si las unidades no estan listas,Promotor,74
10,no esta muy bien servicio,Promotor,25
10,muy buena la atencion,Promotor,21
10,muy buenos atencion,Promotor,19
10,la atencion es buena lo malo es agendar no se podia iba de extension en extension y tuve que contactar a mi vendedor,Neutro,116
9,me hicieron esperar para la entrega,Detractor,35
10,nada todo es excelente,Promotor,22
10,solo explicar mas los pagos que se realizan,Neutro,43
10,al momento de entrega ser mas rapida,Neutro,36
9,solo la entrega ser mas agil,Neutro,28
9,todo muy bien con la asesora,Promotor,28
9,muy bien todo,Promotor,13
8,porque pregunte dudas y no resolvieron y yo tenia que pedir seguimiento,Detractor,71
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,excelente atencion,Promotor,18
9,hasta el momento estaba bien solomque espere mucho para la entrega por el lavado,Promotor,80
0,pesima calidad de producto y atencion,Detractor,37
9,todo bien,Promotor,9
10,super agradecida por que la entrega fue a tiempo,Promotor,48
9,todo esta muy bien y sobre el producto solo que fuera menos pesada o pudieran un motor mas grande,Neutro,97
9,un poco mas de comunicacion con el asesor para entrega y trabajos,Neutro,65
10,muy buena atencion,Promotor,18
10,todo maravilloso como siempre,Promotor,29
10,todo bien con yaz buena atencion,Promotor,32
9,la atencion muy buena,Promotor,21
10,todo muy bien gracias,Promotor,21
10,no por el momento,Promotor,17
10,que sigan asi con el servicio muy atentos,Promotor,41
10,muy buen servicio,Promotor,17
10,muy buena,Promotor,9
10,todo es excelente continuen en esa linea,Promotor,40
10,faltan mas sillas para sala de espera,Neutro,37
8,todo bien solo que no cuentan con filtro y el sistema no te deja autorizar,Neutro,74
10,todo bien,Promotor,9
0,pesima calidad de producto y atencion,Detractor,37
9,ninguna todo bien,Promotor,17
9,todo bien,Promotor,9
9,todo bien,Promotor,9
10,solo la confusion de la cita tener mas cuidado con eso,Neutro,54
9,solo ser mas personalizados,Neutro,27
9,ninguna todo bien,Promotor,17
10,ninguno muy bien todo,Promotor,21
10,todo muy bien,Promotor,13
10,todo muy bien,Promotor,13
6,a surman no recomiendo pero la atencion de yazareth y el servicio estuvo muy bien,Detractor,81
10,muy bien,Promotor,8
10,buen servicio,Promotor,13
9,muy bien,Promotor,8
8,excelente,Promotor,9
10,nada todo bien,Promotor,14
10,execelente atencion,Promotor,19
10,todo va bien,Promotor,12
10,la senora siempre me mantuvo informada del estatus de mi unidad,Promotor,63
9,todo bien solo el producto de la marca esta muy mal,Neutro,51
9,todo bien,Promotor,9
10,siempre me han tratado muy bien,Promotor,31
10,todo bien,Promotor,9
10,ninguno todo bien,Promotor,17
10,todo excelente,Promotor,14
9,sin comenatarios,Promotor,16
10,todo bien excelente servicio y atencion de mi asesor,Promotor,52
0,pesimo servicio,Detractor,15
10,excelente,Promotor,9
7,por el tiempo de espera para la entrega,Detractor,39
9,todo bien,Promotor,9
10,todo muy bien me mantuvo al tanto de mi unidad y adicionales,Promotor,60
10,todo bien,Promotor,9
9,es buena la atencion solo en caja se tardan mucho,Neutro,49
10,no todo estuvo muy bien,Promotor,23
10,nada excelente atencion,Promotor,23
10,solo que se tardan en recibir de lo demas todo bien,Neutro,51
8,ser mas rapidos,Neutro,15
10,todo muy bien me trataron bien,Promotor,30
1,les hace falta mucho en la atencion limpieza de unidad y horario de recepcion muy tardio,Detractor,88
10,no ninguno,Detractor,10
10,ninguno todo bien,Promotor,17
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo bien,Promotor,9
9,la entrega muy tardada espere media hora solo que sea mas rapida,Neutro,64
10,muy buena atencion por parte de eduardo arroyo,Promotor,46
10,todo muy bien muy amables,Promotor,25
10,todo excelente,Promotor,14
10,eduardo arroyo muy bien su atencion es excelente,Promotor,48
9,niinguna,Promotor,8
4,me tardaron mucho para la entrega me citaron 4 00 y son las 6 se equivocan al dar los documentos pesimo servicio,Detractor,112
9,todo excelente solo para la entrega muy tardado,Promotor,47
10,todo bien,Promotor,9
9,estuvo bien todo,Promotor,16
10,todo muy bien,Promotor,13
10,todo bien,Promotor,9
10,todo esta muy bien,Promotor,18
10,todo perfecto,Promotor,13
5,todo bien solo me entregaron mi unidad con un rayon,Detractor,51
10,todo muy bien,Promotor,13
10,todo bien,Promotor,9
10,todo bien,Promotor,9
9,todo bien solo el costo hasta muy alto,Neutro,38
6,estuvo bien solo no me gusto que marcara que los frenos no eran originales eso me hizo dudar la atencion muy bien,Detractor,113
10,ninguno todo bien,Promotor,17
10,todo bien,Promotor,9
8,la promesa de entrega muy tardado,Detractor,33
10,estoy conforme,Promotor,14
10,la puntualidad para la entrega nada mas y coordinacion en costos de servicio,Neutro,76
10,esta bien todo,Promotor,14
10,los precios se estan en careciendo mucho,Neutro,40
10,muy linda mi asesora todo bien con ella,Promotor,39
9,solo el tiempo de espera tener mas comunicacion con el cliente,Neutro,62
9,todo bien,Promotor,9
7,la asesora me atendio tarde y en la entrega tambien se tardo y me entrego unidad sin lavar,Detractor,90
10,me atendieron muy bien,Promotor,22
10,todo perfecto,Promotor,13
9,todo muy bien con mi asesora,Promotor,28
10,todo excelente,Promotor,14
9,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo bien revisan bien la unidad te tienen informado de lo que necesita la unidad,Promotor,81
10,estuvo bien,Promotor,11
10,todo bien,Promotor,9
10,todo muy bien,Promotor,13
9,todo bien,Promotor,9
10,todo muy bien,Promotor,13
9,todo excelente solo para la entrega muy tardado,Promotor,47
10,muy buena la atencion,Promotor,21
9,nos piden llegar temprano y se tardan en atender cuanto uno llega,Neutro,65
8,son muy incincivos al principio muy serio mi asesor despues ya no bien la atencion,Promotor,82
9,todo bien,Promotor,9
10,solo falto proporcionar el numero celular del asesor,Neutro,52
10,la atencion en caja es pesima,Promotor,29
10,todo muy bien solo tarda mucho el servicio de colocacion de piezas,Promotor,66
10,me asesoraron del servicio todo muy bien,Promotor,40
9,solo el tiempo de entrega no salin,Neutro,34
10,todo bien con yaz buena atencion,Promotor,32
10,todo muy bien,Promotor,13
10,la realidad todo esta muy bien,Promotor,30
10,nada qie mejorar todo muy bien,Promotor,30
10,todo muy bien,Promotor,13
9,todo bien,Promotor,9
8,bien solo que tardaron en recibirme,Neutro,35
10,excelente servicio,Promotor,18
10,todo bien,Promotor,9
10,todos muy bien y atentos,Promotor,24
