calificacion,comentarios
10,fue muy atenta y rapido
9,todo bien
10,buen dia
7,atencion a clientes
10,todo perfecto
10,todo muy bien
10,buen trabajo
10,perfecto todo
10,mas contacto
10,todo muy bien
9,la amabilidad y calidad en el servicio
10,todo en orden
10,amabilidad y puntualidad excelentes
10,todo bien
10,todo bien
10,eficiencia
10,"todo muy bien,solo el tiempo del servicio"
6,"primero problema de facturacionsegundo, no se para que el asesor tiene celular, si nunca contesta y tercero, siendo un cliente muy frecuente y leal a chevrolet, surman, no me den prioridad en una cosa tan sencilla"
6,porque no me deja 0
8,los costos muy elevados
6,me robaron la tarjeta de gasolina el auto mal lavado entregaron un dia despues y previqmente ya habian confirmado la entrega el dia antes
8,puse 9
8,"solo quiero mencionar que la actitud del cajero fue prepotente, su comunicacion no verbal, es decir de gesto fue de mal gusto, y en mi opinion deberia ser mas servicial"
6,x que ahora que mande mi camioneta me la entregaron con un rayon
6,hable con su agente de servicio al clientes
6,no recomiendo es mala
8,"si, si los recomendaria. no entiendo xq esta pregunta. hicieron un buen trabajo, grs"
8,le brindaron precios diferentes por llamada y con su consultora
8,le pedi al asesor que si podrian revisar un ruido en la suspension al momento de dejar el vehiculo en el servicio al momento de entregarme el vehiculo le pregunte al respecto y simplemente me dijo que no habian revisado nada porque no les dio tiempo que si queria el servicio tenia que dejarlo un dia mas
6,ingreso a cambio de frenos y siguen rechinando
8,quedaron de mandar via whatsapp o correo electronico el resultado de servicio y aun no lo recibo
8,tener costos mas competitivos
6,en resolver loas peticiones de la siguiente orden de servicio.
8,el tiempo de respuesta para un diagnostico es muy lento de 2 a 3 habiles
6,conteste la encuesta y las razones en la agencia
8,quedaron de valuar mi cochenunca lo hicieron.
6,solicito una revision y no la hicieron
6,el lavado que ustedes le dicen premium es como el que hace el lava coches del mercado de 100 pesos
6,mala atencion y mal servicio
8,no depende de ustedes pero tienen una agenda demasiado saturada y se complica agendar citas
8,sus precios
8,actualizaciones del progreso
6,lleve mi camioneta a servicio y una reparacion de los chisgueteres y no quedaron y ahora no me contestan
6,"me buscaron mas de 10 veces para confirmar mi cita por varios medios y cuando llegue no la tenian agendada. a varios clientes nos paso lo mismo ese dia. eso no fue lo peor. me citaron a las 12:30 para entrega de unidad y me la entregaron hasta las 14h. pedi una valoracion para cambio de un faro y no me la entregaron, pedi una valuacion del equipo de ventas y no la hicieron."
8,"pues si un 9 porque mis visitas anteriores fueron de 4, ha mejorado la atencion que recibo solo me falto una encerada de cortesia que me habian prometido, pero ps estuvo mejor esta vuelta"
10,muy buena atencion por parte del asesor eduardo... no recuerdo su apellido... joven delgado... muy amable y explicando bien cada paso
6,muy mala experiencia
8,lo anterior porque sustrajeron un conector de un cargador de celular del vehiculo.
8,lavada de unidad
6,el servicio y la atencion
8,lavada de unidad
6,no me han entrado mi auto despues de 2 meses
6,la luz de la bolsa de aire ya se volvio a prender. tuvieron mi auto una semana. y no resolvieron el problema
6,"dudo mucho pero mucho que le hayan cambiado el aceite/le toco cambio de aceite de motor y me mostraron como estaba el aceite antes y despues del servicio, y el aceite esta igual de obscuro, cuando el aceite deberia de ser transparente"
8,que se pueda hacer mas rapido el pago
8,aun no me envian mi factura
10,todo muy bien
6,ser claros y no contradecirse en la asesoria de reparaciones
10,todo muy bien
2,tiempo de entrega muy tardado
8,todo bien
10,"todo bien,solo la caja al cobrar que sea mas rapida"
10,perfecta y exacta
10,todo bien
10,todo bien y en orden
10,todo muy bien
10,todo muy bien
10,excelente atencion
10,todo bien
10,buena atencion por parte de yazareth
10,todo bien
10,todo bien
10,todo bien
10,todo bien
10,todo bien
10,todo bien
10,todo muy bien
10,todo excelente
10,excelente servicio y atencion
9,que e cajero sea mas amable donde se paga el servicio
10,atentos y amables
5,la unidad salio con un tallon
10,"ninguna,todo bien"
10,"todo bien,solo contestar mensajes para recoger unidad"
10,todo estuvo muy bien
5,la unidad salio con un tallon
6,no me gusto la estetica realizada
10,amabilidad
10,estuvo excelente todo
10,todo excelente
10,todo bien
10,fue excelente
10,todo bien
10,todo muy bien
10,todo bien
10,no pude costal asesor tuve que venir personalmente
10,todo perfecto y muy buena atencion
9,solo tener mas atencion al cliente
10,fue excelente
10,"todo fue facil,no tan rapido pero bien"
10,"falta de informacion de los adicionales,en el area de caja el personal es muy despota."
10,todo bien atentos
10,todo bien
9,esta bien
10,todo muy bien buena atencion
10,"super atencion por parte de yazareth,"
10,todo bien
10,solo la atencion por clientes por llamada mejorarla
10,todo muy bien
10,buena atencion
10,todo muy bien
10,todo perfecto
10,todo muy bien
10,todo muy bien
10,todo bien
10,fue excelente
10,buena actitud
10,todo muy bien
9,"un poco mas de comunicacion por el asesor,la atencion de monserrat gutierrez muy buena. gracias"
9,muy caros los precios del servicio y muy barato el costo de seminuevos
10,fueron atentos y rapido el servicio
10,todo muy bien
6,no me solucionaron mi tema de la pintura
10,todo bien
10,todo bien todo perfecto
10,todo bien
9,todo bien
8,"la primera persona que nos atendio tendria que a ver terminado la atencion no otra persona, ya que la informacion no fue correcta y los costos cuidarlos no dar diferentes"
6,"el servicio muy bien,pero el dano en mi unidad muy mal"
9,bastante bien
10,todo bien
10,todo bien
9,todo bien
10,todo muy bien claros y buen servicio
10,byena atencion
10,el tiempo de recepcion sea mas rapido
10,servicio y atencion a cliente
6,tener mas atencion con el cliente y claridad de la informacion.
9,"todo muy bien con el servicio,pero el sistema es muy lento"
10,excelente
10,todo bien
8,desde el servicio pasado no me entregaron mis tapetes de mi unidad
10,muy bien la atencion y muy profesional mi asesora yazareth cruz
8,"la atencion todo bien, solo la comunicacion con el area de cita"
10,todo bien excelente servicio
9,todo bien
9,todo bien
10,todo bien
10,todo muy bien
10,too ok
10,excelente servicio
10,todo bien
10,todo muy bien
9,demasiadas llamadas y mensajes para confirmar la cita
10,buen trato y tiempo de entrega
9,los presupuestos son muy lentos
10,"todo muy bien,solo que tuve que pagar un servicio que me habian indicado que era gratuito."
10,todo bien todo perfecto
10,todo bien
10,todo bien
10,todo bien
9,"todo bien , gracias"
10,todo bien
10,excelente
10,todo perfecto
10,todo muy bien
10,todo bien
9,esta bien
10,"mejorar nada,esta excelente"
10,muy atentos
9,todo bien
10,todo excelente
10,excelente servicio
10,todo muy bien
10,"buen servicio de mi asesora yazareth,"
10,todo bien
7,"la atencion bien,solo la informacion de los multipuntos ser mas claros y con mas tacto"
8,contestar las llamadas a opcion de servicio
10,servicios excelente
8,"el cajero ser mas empatico,ya que se molesto por que me cobro y ya queria retirarse comentarios que me son propios enfrente del cliente"
8,el tiempo de entregar hacerlo mas rapido
0,pues en general la atencion al cliente es super importante estoy en insatisfecho
10,todo bien
9,se tardo mucho la unidad en taller
5,"el asesor coyotzin no atendia mis llamadas y mensajes, el numero telefonico que tienen de atencion nunca contestan. para resolver el problema tuve q venir personalmente varias veces"
7,mas eficacia en el servicio
9,todo bien
7,tener mas comunicacion con el asesor y que las lineas funcionen
10,todo muy bien
10,todo bien
10,excelente atencion y tiempo en forma
8,seguimiento
10,la misma calidad en el servicio
7,"la unidad sigue con la misma falla, mi asesora le falta atencion al responder mensajes, tener mas stocks en almacen para no quedar sin el servicio a medias"
10,todo muy bien
10,ningun comentario
8,muy buena atencion
10,todo bien
10,todo bien
10,todo bien
10,todo muy bien
9,seguir igual con el mismo compromiso
10,todo bien
10,excelente servicio
10,todo bien
10,todo muy bien
10,un poco mas agiles con las garantiasm
9,bien solo el tiempo de entrega
9,entregar a tiempo
0,el servicio es terrible y mediocre. el personal no tiene total conocimiento de los servicios
10,super rapido todo
8,todo bien
10,todo bien
10,todo muy bien
10,todo bien
10,perfecta excelente mi asesora
9,fue buena la atencion pero no contesta los telefonos para hacer cita y para poder pedir informes de mi unidad
10,todo bien
10,todo muy bien
7,"la caja ,el personal muy despota, el servicio muy bien"
9,solo el tiempo de entrega y de espera
10,muy bien mi asesor jesus
10,todo muy bien
10,estuvo muy bien la atencion
10,todo muy bien
10,todo bien
8,me atendieron en tiempo y forma muy amable mi asesor.
10,"la atencion muy bien, solo se tardan en recibir la unidad"
10,todo bien
10,todo bien
10,todo bien
10,todo bien
10,todo muy bien
9,todo bien
10,todo bien
10,excelente trato y puntualidad
10,todo muy bien
0,"no con el servicio con la marca por ello ,mi calificacion"
8,"la atencion se los asesores,ser mas clara y precisa para no quedar con duda"
8,atiendan clavos en llantas identificados en servicios con el costo correspondiente
0,"el servicio de citas de la pagina no funciona, al llegar no hay control y a la salida tampoco."
9,todo bien
9,todo bien
10,todo bien
10,todo bien
10,todo muy bien
10,todo bien
10,todo bien
10,todo bien
10,excelente servicio
10,todo bien
10,todo bien
10,todo bien sin inconvenientes
10,siempre han atendido muy bien pero los costos ya son muy caros
8,el tiempo de entrega
10,excelente servicio
10,todo muy bien
10,bien
8,tiempos de respuesta
10,amabilidad y profesionalismo en su trabajo
10,todo bien
9,todo bien
8,entregaron mi unidad com un rayon
8,atencion a clientes
10,todo bien
10,todo muy bien
10,todo bien
10,todo muy bien
10,excelente
9,todo bien
10,todo muy bien
10,todo muy bien
9,todo bien
9,todo muy bien
9,todo bien
9,todo bien
10,todo muy bien
10,excelente atencion
9,todo bien
9,"ninguna, todo bien"
10,todo bien
9,todo bien
9,todo muy bien
10,todo bien
10,la atencion
9,"tuve dos inconveniente con la cita, ya que me reagendaron muchas veces algo que me es inconmido"
9,todo bien
10,excelente
10,todo bien
10,excelente
10,todo muy bien
10,todo excelente
10,han estado satisfechos con el servicio
10,todo muy bien
10,"me hicieron llegar un presupuesto de unas refacciones y anteriormente fue otro costo,informacion confusa y molestia por no repararse la falla"
9,todo bien
8,"servicios, mejorar lavado"
10,bien
8,falta de comunicacion com mi asesor
10,todo bien
10,todo bien
9,todo bien
10,"solo la aplicacion que indica que ya esta la unidad y al llegar no esta mi asesor, pero el servicio bien, por favor no me manden mensajes"
10,todo muy bien
1,el lavado muy mal
10,todo bien
10,todo bien
10,todo bien
10,todo bien con fernando
10,muy buena atencion
10,bien todo
10,todo muy bien
10,todo a tiempo y presiso
10,excelente servicio
6,"la falta de comunicacion con mi asesor, la atencion presencial muy buena"
10,tiempo de entrega
10,espectacular
10,todo excelente
8,el asesor muy amable
10,todo en orden
8,la caja es muy lenta
10,todo bien
10,siempre buena atencion
10,siempre son muy honesto por eso siempre traigo aqui mis carros
8,falta de atencion en tiempo de entrega
9,la tardanza para poder entregar
10,estoy muy satisfecho la experiencia es muy buena la marca me ha resultado excelente ya que antes preferiria otra la mas reciente fue nissan
6,"demasiada vuelta para expedir un pago y factura, tiempo de entrega del vehiculo despues del servicio mas de 30 min, cada servicio es lo mismo, no entregan la factura, y los servicios muy elevados en comparacion con otras agencias"
10,los recomiendo
10,los recomiendo
8,"me entregaron mi vehiculo con manchas de pegamento en 3 cristales , como si hubieran pegado hojas , tener cuidado con esos detalles"
10,todo muy bien muy buena atencion y si los recomendaria y como comentario donde yo trabajaba ahi llevavamos los vehiculos desde hace 15 anos y todo excelente servicio
8,"muy buena atencion en general, los costos por cambio de balatas fueron muy elevados en comparacion con el mercado."
8,"al momento de entrgar la camioneta comente que por favor checaran los chispeadores del agua delanteros y cuando me hicieron la entrega no lo habian revisado, la persona debe anotar lo requerido, la persona que me la entrego fue muy amable e hicieron la revision y los correctivos"
6,me lo entregaron sin el tapon del deposito del agua de los limpiadores
6,precios
8,"no le notificaron adicionales y le llego un mensaje de la aplicacion en donde mencionaba que no habia autorizado, correo incorrecto"
10,lo unico malo de este dia que fui al servicio de mi vehiculo fue la mala atencion a la hora de la entrega me dejo solo el asesor y le prestaba mas atencion a su amigo hasta perfumes le regalo y a mi me dejo solo y ni se despidio de mi fue una descortesia de su parte
8,4cm/ solo califica sin comentarios
6,el ajustador o kien me atendio no contesta lo k se me indica lo k kieren saber mis jefes el cono tuve k regresar como la ves pasada no se lo kitan y la verdad no hubo mantenimiento como tal motor todo polveado solo una limpiada por fuera muy mal servicio
6,1 el tiempo 2 inexistencia de diagnostico y pruebas
6,los precios son muy altos
8,tiempos de entrega
8,"nada, sigan igual"
8,4cm/ solo califica sin comentarios
6,me entregaron mi coche y se descompuso a la hora porque se safo una manguera
10,"los recomiendo totalmente 10 de calificacion, personal muy comprometido. saludos"
8,"oy clienta de mucho anos y la atencion en el area de servicios no es como acostumbra surman anzures, mas atencion en el seguimiento de informacion del estado de los vehiculos que se dejan para los diferentes servicios, gracias por tomarme en cuenta"
6,"les hace falta mas atencion al cliente y son de poco confiar al no demostrar las piezas que son cambiadas en los servicios, minimo deberian de tomar fotos antes y despues de cada servicio o un video en el proceso del mismo"
8,"manejar los horarios, a mi me citaron a una hora y me atendieron despues en mi primera cita"
6,el servicio que lleve el auto era cambio de aceite y filtro asi como la revision de 15 puntos del auto no es posible que se lleve al servicio y no te entreguen como esta el carro y solo el asesor te diga esta bien la pregunta es bien de que y solo hasta que yo pregunto me diga a si la bateria ya se debe cambiar solo comentarios nada por escrito y la actitud del asesor al ser cuestionado respondiendo mal uno busca soluciones
6,"no recibi el trato de cliente desde el inicio senalando que veniamos de otro lado, me hicieron esperar 1 hr para recibir mi vehiculo hasta que hable a atencion a clientes, en 2 minutos hicieron lo que en 1 hr no, el diagnostico que me entregaron no sirvio de nada ya que no me explicaron que tenia mi vehiculo el diagnostico nunca lo compartieron conmigo solo me dijeron que era combustible de mala calidad , el auto me lo entregaron funcionando y me obligaron ya sabiendo que encendia a llevar una grua para que pagara obviamente un servicio que no ocupaba o no era necesario, la camioneta volvio a presentar la misma falla ahora en pachuca hidalgo, la encargada del servicio se molesto porque marque a servicio a clientes pesima para dar la cara al cliente poco profesionales, nada de explicacion de la falla del vehiculo pague 3 mil pesos por un diagnostico que no supieron explicarme."
10,todo bien
9,todo muy bien
10,todo bien
9,todo bien
9,que a la hora que me ha en mi cita ya se encuentre el asesor. y no tener que esperarlo
10,todo bien
9,todo bien
9,todo bien
10,la atencion y amabilidad
9,todo bien
10,todo muy bien
10,todo bien
10,todo bien
10,todo bien
10,"todo muy bien ,con la puntualidad"
10,me parece muy bueno el servicio
10,todo de maravilla muy atentos todos
9,todo bien
2,pesima comunicacion para mandar cotizaciones
10,todo bien
10,todo muy bien
10,todo bien
10,todo muy bien
1,"se tardaron mucho con mi pieza,la atencion es bueno solo eso"
9,todo muy bien
10,todo muy bien
9,todo bien
9,todo bien
9,el tiempo de entrega hacerlo mas corto
10,todo bien
10,amabilidad
10,"ninguna,todo bien"
10,todo bien
10,todo bien
10,estuvo excelente
10,excelente atencion de todos
6,la atencion al cliente en general
10,he estado muy satisfecho con la unidad y atencion
9,estuvo excelente la atencion
10,"no,ninguna"
10,todo bien
2,"que contesten llamadas,correos,brindar informacion de mi unidad"
9,todo bien
5,"con yaz todo muy bien, solo necesitamos probar la unidad."
10,todo bien
10,todo bien
10,todo muy bien
9,tiempo de diagnostico
10,todo bien
9,todo muy bien
9,todos muy amables
10,todo bien
9,excelente
9,todo bien
9,todo bien
9,todo bien
10,todo muy bien
8,todo bien
9,todo bien
10,solo tener mas contacto con el cliente para seguimiento
10,una super atencion y todo a tiempo
10,muy bien fue rapido
9,todo bien
9,todo bien
10,todo bien
10,todo bien buena comunicacion
10,todo estuvo bien
10,todo muy bien
10,todo bien
10,todo bien y excelente atencion.
10,todo bien
9,bien
10,excelente atencion
10,muy amables todos
4,que si el carro aun no tiene el kilometraje de 10000 no se le haga servicio
10,todo bien
10,la calidad y calidez del del servicio
10,todo bien
9,todo bien
8,solo los tiempos no se respetan mucho
9,cuando pongan el tratamiento de lavado premiun no poner tango para no mancharse
10,muy buena atencion
10,seguir dando un buen servicio
10,todo bien
10,todo bien
10,todo estuvo perfecto
10,todo bien
