,calificacion,comentarios,Clasificacion
134,10,atencion a clientes,
135,10,no poner tantas trabas cuando llamamos para pedir con el asesor,
136,10,los precio accesibles,
137,10,siempre excelente,
138,10,buen trato al cliente,
139,10,todo esta bien,
140,9,no estuvo mi asesor y me atendio otra persona y no me dio horario de entrega,
141,9,volver a realizar los servicios mas rapidos,
142,9,todo esta muy bien,
143,10,ojala los tiempos fueran mas agiles son buenos pero en el sentido servicio so es rapido,
144,10,todo bien con el servicio,
145,10,el buen trato a los clientes,
146,10,mantener la buena atencion al cliente,
147,10,excelente servicio por parte del personal,
148,10,buen servicio y atencion,
149,6,la atencion muy buena,
150,10,todo correcto en la entrega,
151,10,mantener los buenos servicios realizados al coche,
152,10,muy buen servicio,
153,10,muy satisfecho con su servicio,
154,10,nada todo esta perfectamente,
155,10,"poner mas atencion en las peticiones del cliente,pedi que me acomodaran la goma del parabrisas y no lo realizaron.",
156,10,buena atencion de los consultores,
157,10,todo muy bueno,
158,10,agilizar entrega,
159,10,amabilidad,
160,10,continuar con la atencion recibida,
161,9,mejorar los tiempos de entrega,
162,10,bajar precios,
163,10,"muy bien, la atencion por la srta monserrat gutierrez fue excelente. gracias",
164,10,todo muy bieb,
165,10,"excelente servicio, todo muy bien",
166,10,puntualidad con el servicio,
167,10,seguir innovando el servicio esecelente,
168,6,"vi un golpe que yo recuerdo no traerlo,y en sus fotos no se nota muy bien",
169,10,siempre son muy amables.,
170,10,mantener buen servicio,
171,10,buena atencion para los clientes,
172,10,buen seguimiento de las unidades,
173,10,excelente servicio de todo el personal,
174,8,bien,
175,5,pesimo servicio de limpieza y la notificacion de que la unidad ya estaba lista y al llegar me indicaron que aun no,
176,7,mostrar el aceite que retiraron,
177,9,explicar mejor los adicionales y sus alcances,
178,10,"la atencion de algunos trabajadores que es buena, de otros no tanto",
179,10,fue muy atenta y rapido,
180,10,buen dia,
181,10,todo perfecto,
182,10,buen trabajo,
183,10,perfecto todo,
184,10,mas contacto,
185,10,todo en orden,
186,10,amabilidad y puntualidad excelentes,
187,10,eficiencia,
188,10,"todo muy bien,solo el tiempo del servicio",
189,6,"primero problema de facturacionsegundo, no se para que el asesor tiene celular, si nunca contesta y tercero, siendo un cliente muy frecuente y leal a chevrolet, surman, no me den prioridad en una cosa tan sencilla",
190,6,porque no me deja 0,
191,8,los costos muy elevados,
192,6,me robaron la tarjeta de gasolina el auto mal lavado entregaron un dia despues y previqmente ya habian confirmado la entrega el dia antes,
193,8,puse 9,
194,8,"solo quiero mencionar que la actitud del cajero fue prepotente, su comunicacion no verbal, es decir de gesto fue de mal gusto, y en mi opinion deberia ser mas servicial",
195,6,x que ahora que mande mi camioneta me la entregaron con un rayon,
196,6,hable con su agente de servicio al clientes,
197,6,no recomiendo es mala,
198,8,"si, si los recomendaria. no entiendo xq esta pregunta. hicieron un buen trabajo, grs",
199,8,le brindaron precios diferentes por llamada y con su consultora,
200,8,le pedi al asesor que si podrian revisar un ruido en la suspension al momento de dejar el vehiculo en el servicio al momento de entregarme el vehiculo le pregunte al respecto y simplemente me dijo que no habian revisado nada porque no les dio tiempo que si queria el servicio tenia que dejarlo un dia mas,
201,6,ingreso a cambio de frenos y siguen rechinando,
202,8,quedaron de mandar via whatsapp o correo electronico el resultado de servicio y aun no lo recibo,
203,8,tener costos mas competitivos,
204,6,en resolver loas peticiones de la siguiente orden de servicio.,
205,8,el tiempo de respuesta para un diagnostico es muy lento de 2 a 3 habiles,
206,6,conteste la encuesta y las razones en la agencia,
207,8,quedaron de valuar mi cochenunca lo hicieron.,
208,6,solicito una revision y no la hicieron,
209,6,el lavado que ustedes le dicen premium es como el que hace el lava coches del mercado de 100 pesos,
210,6,mala atencion y mal servicio,
211,8,no depende de ustedes pero tienen una agenda demasiado saturada y se complica agendar citas,
212,8,sus precios,
213,8,actualizaciones del progreso,
214,6,lleve mi camioneta a servicio y una reparacion de los chisgueteres y no quedaron y ahora no me contestan,
215,6,"me buscaron mas de 10 veces para confirmar mi cita por varios medios y cuando llegue no la tenian agendada. a varios clientes nos paso lo mismo ese dia. eso no fue lo peor. me citaron a las 12:30 para entrega de unidad y me la entregaron hasta las 14h. pedi una valoracion para cambio de un faro y no me la entregaron, pedi una valuacion del equipo de ventas y no la hicieron.",
216,8,"pues si un 9 porque mis visitas anteriores fueron de 4, ha mejorado la atencion que recibo solo me falto una encerada de cortesia que me habian prometido, pero ps estuvo mejor esta vuelta",
217,10,muy buena atencion por parte del asesor eduardo... no recuerdo su apellido... joven delgado... muy amable y explicando bien cada paso,
218,6,muy mala experiencia,
219,8,lo anterior porque sustrajeron un conector de un cargador de celular del vehiculo.,
220,8,lavada de unidad,
221,6,el servicio y la atencion,
222,6,no me han entrado mi auto despues de 2 meses,
223,6,la luz de la bolsa de aire ya se volvio a prender. tuvieron mi auto una semana. y no resolvieron el problema,
224,6,"dudo mucho pero mucho que le hayan cambiado el aceite/le toco cambio de aceite de motor y me mostraron como estaba el aceite antes y despues del servicio, y el aceite esta igual de obscuro, cuando el aceite deberia de ser transparente",
225,8,que se pueda hacer mas rapido el pago,
226,8,aun no me envian mi factura,
227,6,ser claros y no contradecirse en la asesoria de reparaciones,
228,2,tiempo de entrega muy tardado,
229,10,"todo bien,solo la caja al cobrar que sea mas rapida",
230,10,perfecta y exacta,
231,10,todo bien y en orden,
232,10,buena atencion por parte de yazareth,
233,10,excelente servicio y atencion,
234,9,que e cajero sea mas amable donde se paga el servicio,
235,10,atentos y amables,
236,5,la unidad salio con un tallon,
237,10,"ninguna,todo bien",
238,10,"todo bien,solo contestar mensajes para recoger unidad",
239,10,todo estuvo muy bien,
240,6,no me gusto la estetica realizada,
241,10,estuvo excelente todo,
242,10,fue excelente,
243,10,no pude costal asesor tuve que venir personalmente,
244,10,todo perfecto y muy buena atencion,
245,9,solo tener mas atencion al cliente,
246,10,"todo fue facil,no tan rapido pero bien",
247,10,"falta de informacion de los adicionales,en el area de caja el personal es muy despota.",
248,10,todo bien atentos,
249,9,esta bien,
250,10,"super atencion por parte de yazareth,",
251,10,solo la atencion por clientes por llamada mejorarla,
252,10,buena actitud,
253,9,"un poco mas de comunicacion por el asesor,la atencion de monserrat gutierrez muy buena. gracias",
254,9,muy caros los precios del servicio y muy barato el costo de seminuevos,
255,10,fueron atentos y rapido el servicio,
256,6,no me solucionaron mi tema de la pintura,
257,10,todo bien todo perfecto,
258,8,"la primera persona que nos atendio tendria que a ver terminado la atencion no otra persona, ya que la informacion no fue correcta y los costos cuidarlos no dar diferentes",
259,6,"el servicio muy bien,pero el dano en mi unidad muy mal",
260,9,bastante bien,
261,10,todo muy bien claros y buen servicio,
262,10,byena atencion,
263,10,el tiempo de recepcion sea mas rapido,
264,10,servicio y atencion a cliente,
265,6,tener mas atencion con el cliente y claridad de la informacion.,
266,9,"todo muy bien con el servicio,pero el sistema es muy lento",
267,8,desde el servicio pasado no me entregaron mis tapetes de mi unidad,
268,10,muy bien la atencion y muy profesional mi asesora yazareth cruz,
269,8,"la atencion todo bien, solo la comunicacion con el area de cita",
270,10,todo bien excelente servicio,
271,10,too ok,
272,9,demasiadas llamadas y mensajes para confirmar la cita,
273,10,buen trato y tiempo de entrega,
274,9,los presupuestos son muy lentos,
275,10,"todo muy bien,solo que tuve que pagar un servicio que me habian indicado que era gratuito.",
276,9,"todo bien , gracias",
277,10,"mejorar nada,esta excelente",
278,10,muy atentos,
279,10,"buen servicio de mi asesora yazareth,",
280,7,"la atencion bien,solo la informacion de los multipuntos ser mas claros y con mas tacto",
281,8,contestar las llamadas a opcion de servicio,
282,10,servicios excelente,
283,8,"el cajero ser mas empatico,ya que se molesto por que me cobro y ya queria retirarse comentarios que me son propios enfrente del cliente",
284,8,el tiempo de entregar hacerlo mas rapido,
285,0,pues en general la atencion al cliente es super importante estoy en insatisfecho,
286,9,se tardo mucho la unidad en taller,
287,5,"el asesor coyotzin no atendia mis llamadas y mensajes, el numero telefonico que tienen de atencion nunca contestan. para resolver el problema tuve q venir personalmente varias veces",
288,7,mas eficacia en el servicio,
289,7,tener mas comunicacion con el asesor y que las lineas funcionen,
290,10,excelente atencion y tiempo en forma,
291,8,seguimiento,
292,10,la misma calidad en el servicio,
293,7,"la unidad sigue con la misma falla, mi asesora le falta atencion al responder mensajes, tener mas stocks en almacen para no quedar sin el servicio a medias",
294,10,ningun comentario,
295,9,seguir igual con el mismo compromiso,
296,10,un poco mas agiles con las garantiasm,
297,9,bien solo el tiempo de entrega,
298,9,entregar a tiempo,
299,0,el servicio es terrible y mediocre. el personal no tiene total conocimiento de los servicios,
300,10,super rapido todo,
301,10,perfecta excelente mi asesora,
302,9,fue buena la atencion pero no contesta los telefonos para hacer cita y para poder pedir informes de mi unidad,
303,7,"la caja ,el personal muy despota, el servicio muy bien",
304,9,solo el tiempo de entrega y de espera,
305,10,muy bien mi asesor jesus,
306,10,estuvo muy bien la atencion,
307,8,me atendieron en tiempo y forma muy amable mi asesor.,
308,10,"la atencion muy bien, solo se tardan en recibir la unidad",
309,10,excelente trato y puntualidad,
310,0,"no con el servicio con la marca por ello ,mi calificacion",
311,8,"la atencion se los asesores,ser mas clara y precisa para no quedar con duda",
312,8,atiendan clavos en llantas identificados en servicios con el costo correspondiente,
313,0,"el servicio de citas de la pagina no funciona, al llegar no hay control y a la salida tampoco.",
314,10,todo bien sin inconvenientes,
315,10,siempre han atendido muy bien pero los costos ya son muy caros,
316,8,el tiempo de entrega,
317,8,tiempos de respuesta,
318,10,amabilidad y profesionalismo en su trabajo,
319,8,entregaron mi unidad com un rayon,
320,9,"ninguna, todo bien",
321,10,la atencion,
322,9,"tuve dos inconveniente con la cita, ya que me reagendaron muchas veces algo que me es inconmido",
323,10,han estado satisfechos con el servicio,
324,10,"me hicieron llegar un presupuesto de unas refacciones y anteriormente fue otro costo,informacion confusa y molestia por no repararse la falla",
325,8,"servicios, mejorar lavado",
326,8,falta de comunicacion com mi asesor,
327,10,"solo la aplicacion que indica que ya esta la unidad y al llegar no esta mi asesor, pero el servicio bien, por favor no me manden mensajes",
328,1,el lavado muy mal,
329,10,todo bien con fernando,
330,10,bien todo,
331,10,todo a tiempo y presiso,
332,6,"la falta de comunicacion con mi asesor, la atencion presencial muy buena",
333,10,espectacular,
334,8,el asesor muy amable,
335,8,la caja es muy lenta,
336,10,siempre buena atencion,
337,10,siempre son muy honesto por eso siempre traigo aqui mis carros,
338,8,falta de atencion en tiempo de entrega,
339,9,la tardanza para poder entregar,
340,10,estoy muy satisfecho la experiencia es muy buena la marca me ha resultado excelente ya que antes preferiria otra la mas reciente fue nissan,
341,6,"demasiada vuelta para expedir un pago y factura, tiempo de entrega del vehiculo despues del servicio mas de 30 min, cada servicio es lo mismo, no entregan la factura, y los servicios muy elevados en comparacion con otras agencias",
342,10,los recomiendo,
343,8,"me entregaron mi vehiculo con manchas de pegamento en 3 cristales , como si hubieran pegado hojas , tener cuidado con esos detalles",
344,10,todo muy bien muy buena atencion y si los recomendaria y como comentario donde yo trabajaba ahi llevavamos los vehiculos desde hace 15 anos y todo excelente servicio,
345,8,"muy buena atencion en general, los costos por cambio de balatas fueron muy elevados en comparacion con el mercado.",
346,8,"al momento de entrgar la camioneta comente que por favor checaran los chispeadores del agua delanteros y cuando me hicieron la entrega no lo habian revisado, la persona debe anotar lo requerido, la persona que me la entrego fue muy amable e hicieron la revision y los correctivos",
347,6,me lo entregaron sin el tapon del deposito del agua de los limpiadores,
348,6,precios,
349,8,"no le notificaron adicionales y le llego un mensaje de la aplicacion en donde mencionaba que no habia autorizado, correo incorrecto",
350,10,lo unico malo de este dia que fui al servicio de mi vehiculo fue la mala atencion a la hora de la entrega me dejo solo el asesor y le prestaba mas atencion a su amigo hasta perfumes le regalo y a mi me dejo solo y ni se despidio de mi fue una descortesia de su parte,
351,8,4cm/ solo califica sin comentarios,
352,6,el ajustador o kien me atendio no contesta lo k se me indica lo k kieren saber mis jefes el cono tuve k regresar como la ves pasada no se lo kitan y la verdad no hubo mantenimiento como tal motor todo polveado solo una limpiada por fuera muy mal servicio,
353,6,1 el tiempo 2 inexistencia de diagnostico y pruebas,
354,6,los precios son muy altos,
355,8,"nada, sigan igual",
356,6,me entregaron mi coche y se descompuso a la hora porque se safo una manguera,
357,10,"los recomiendo totalmente 10 de calificacion, personal muy comprometido. saludos",
358,8,"oy clienta de mucho anos y la atencion en el area de servicios no es como acostumbra surman anzures, mas atencion en el seguimiento de informacion del estado de los vehiculos que se dejan para los diferentes servicios, gracias por tomarme en cuenta",
359,6,"les hace falta mas atencion al cliente y son de poco confiar al no demostrar las piezas que son cambiadas en los servicios, minimo deberian de tomar fotos antes y despues de cada servicio o un video en el proceso del mismo",
360,8,"manejar los horarios, a mi me citaron a una hora y me atendieron despues en mi primera cita",
361,6,el servicio que lleve el auto era cambio de aceite y filtro asi como la revision de 15 puntos del auto no es posible que se lleve al servicio y no te entreguen como esta el carro y solo el asesor te diga esta bien la pregunta es bien de que y solo hasta que yo pregunto me diga a si la bateria ya se debe cambiar solo comentarios nada por escrito y la actitud del asesor al ser cuestionado respondiendo mal uno busca soluciones,
362,6,"no recibi el trato de cliente desde el inicio senalando que veniamos de otro lado, me hicieron esperar 1 hr para recibir mi vehiculo hasta que hable a atencion a clientes, en 2 minutos hicieron lo que en 1 hr no, el diagnostico que me entregaron no sirvio de nada ya que no me explicaron que tenia mi vehiculo el diagnostico nunca lo compartieron conmigo solo me dijeron que era combustible de mala calidad , el auto me lo entregaron funcionando y me obligaron ya sabiendo que encendia a llevar una grua para que pagara obviamente un servicio que no ocupaba o no era necesario, la camioneta volvio a presentar la misma falla ahora en pachuca hidalgo, la encargada del servicio se molesto porque marque a servicio a clientes pesima para dar la cara al cliente poco profesionales, nada de explicacion de la falla del vehiculo pague 3 mil pesos por un diagnostico que no supieron explicarme.",
363,9,que a la hora que me ha en mi cita ya se encuentre el asesor. y no tener que esperarlo,
364,10,la atencion y amabilidad,
365,10,"todo muy bien ,con la puntualidad",
366,10,me parece muy bueno el servicio,
367,10,todo de maravilla muy atentos todos,
368,2,pesima comunicacion para mandar cotizaciones,
369,1,"se tardaron mucho con mi pieza,la atencion es bueno solo eso",
370,9,el tiempo de entrega hacerlo mas corto,
371,10,estuvo excelente,
372,10,excelente atencion de todos,
373,6,la atencion al cliente en general,
374,10,he estado muy satisfecho con la unidad y atencion,
375,9,estuvo excelente la atencion,
376,10,"no,ninguna",
377,2,"que contesten llamadas,correos,brindar informacion de mi unidad",
378,5,"con yaz todo muy bien, solo necesitamos probar la unidad.",
379,9,tiempo de diagnostico,
380,9,todos muy amables,
381,10,solo tener mas contacto con el cliente para seguimiento,
382,10,una super atencion y todo a tiempo,
383,10,muy bien fue rapido,
384,10,todo bien buena comunicacion,
385,10,todo bien y excelente atencion.,
386,10,muy amables todos,
387,4,que si el carro aun no tiene el kilometraje de 10000 no se le haga servicio,
388,10,la calidad y calidez del del servicio,
389,8,solo los tiempos no se respetan mucho,
390,9,cuando pongan el tratamiento de lavado premiun no poner tango para no mancharse,
391,10,seguir dando un buen servicio,
392,9,"con respecto al personal todo excelente,me asesor bien",
393,10,muy buena la atencion por parte de todos,
394,10,todo muy bien excelente,
395,8,los horarios de entrega,
396,9,bien solo que en caja nos tardamos un poco,
397,6,mejorar los tiempos en refacciones,
398,7,se tardaron una semana en diagnosticar y traer bateria,
399,10,angel es perfecto,
400,9,ser puntuales con sus citas,
401,9,el tiempo de entrega en recepcion,
402,10,niinguna,
403,9,"solo las refacciones se tardaron mucho ,tener mas surtido en refacciones",
404,10,desde la llegada todo excelente,
405,10,me atendieron bien,
406,10,que pongan estacionamiento para clientes,
407,9,todo bien en tiempo y forma,
408,10,que conteste el celular el asesor,
409,7,los mensajes con mi asesor no se contestaron.,
410,8,"si la atencion,falta mucha atencion ya que no todos son muy serviciales y el tiempo de entrega que sea puntual",
411,10,solo que contesten las llamadas,
412,9,tiempo de espera,
413,10,solo la disponibilidad de piezas y cuidar mas el lavado ya que rajaron un poco el carro con yazareth todo muy bien,
414,9,ha sido bastante bueno,
415,10,"no,todo estuvo bien",
416,9,la caja es muy tardada del resto todo perfecto a,
417,10,solo tiempo de espera,
418,10,la buena atencion,
419,6,mas atencion en los pequenos detalles que pasan y de la unidad en servicio,
420,10,el costo del servicio bajarlos,
421,10,la atencion siempre es muy buena,
422,10,estuvo bien,
423,10,no veo problemas,
424,10,todo bien muy amables,
425,10,"todo muy bien,excelente servicio y atencion de yazareth muy amable",
426,10,esta bien el servicio muy eficiente,
427,9,"todo bien,solo el tiempo de entrega muy tardado",
428,5,"no me dieron retro de mi unidad,no me contestaba mi asesora por llamada ni por mensaje",
429,10,"todo bien con fernando ,solo las piezas caras",
430,10,todo estuvo muy bien.,
431,9,ser mas rapida la entrega,
432,9,estuvo bien el asesor,
433,10,todo muy bien felicidades,
434,10,"todo muy bien,no quiso proporcionar correo ni numero celular",
435,10,solo el tiempo de entrega ser mas rapido,
436,10,estuvo muy bien,
437,10,muy agil y amable mi asesor,
438,10,muy adecuada la atencion del asesor muy atento.,
439,10,bien la atencion,
440,10,"no me agrado la atencion de mi asesor,desde que llegue ya que me atendieron 10 min mas tarde de mi cita,llegue y me ignoro ateniendo a otro cliente que llego despues de mi",
441,10,muy buena atencion del asesor y quedo muy bien mi unidad,
442,2,"fue muy dificil contactar con mi asesor,mucho tiempo no fue grata la experiencia.",
443,5,la tardanza para recibir y entregar,
444,10,"todo estuvo muy bien,solo para hacer la cita por whatsapp se tardaron un poco",
445,10,fue buena,
446,10,hice poco tiempo para la recepcion y entrega de mi unidad muy bien,
447,8,no me dieron solucion a mi tema de consumo de gasolina,
448,8,no me responden mis llamadas y la unidad que me entregaron estaba sucias,
449,9,"con mi asesor fernando excelente,solo no me gusto que me dejaran en visto al indicarme que tenia cita tuve que volver a llamar para hacerla.",
450,8,que laven bien los vehiculos,
451,10,muy rapido con el tiempo,
452,10,todo bueno,
453,10,el servicio es excelente,
454,10,excelente por parte del asesor fernando,
455,10,"todo muy bien ,buena atencion",
456,10,"nada,todo bien",
457,10,"no,todo bien",
458,10,execelente servicio,
459,10,"ninguno,todo bien",
460,10,"todo esta bien,buen servicio",
461,9,actualizar los vostos en la pagina,
462,10,"todo bien,excelente agil y rapido",
463,10,muchas gracias,
464,10,"no,todo excelente",
465,10,para mi estuve muy atendida y al atencion de fernando muy bien,
466,10,todo esta perfecto,
467,9,"del servicio ningun comentario,con el asesor todo perfecto",
468,10,solo un poco mas de seguimiento,
469,8,"el asesor deberia de presentarse,buen servicio,",
470,10,todos son muy atentos y nos queja de eso.,
471,9,"todo bien,nunca he tenido ningun problema",
472,7,"al momento de hacer la cita todo bien,pero la actitud de mi asesor no me agrado parece que me esta reganando",
